series,group,observations,dfa_alpha,dfa_r2,h_minus4,h_0,h_4,alpha_min,alpha_max,spectrum_width
AAPL,real_deseasonalized,4620,0.5433280247263569,0.9960572588556832,0.551673007451774,0.5402828581940217,0.5375325186747625,0.5232812343034765,0.566842110427086,0.04356087612360948
MSFT,real_deseasonalized,4620,0.49896279808461264,0.9960303368914442,0.5428360608767717,0.516037908234559,0.4805404400024261,0.4528935059839103,0.5614735064678751,0.10858000048396477
QQQ,real_deseasonalized,4620,0.5363084393192279,0.9936227852759476,0.5485786634110763,0.5284971649753254,0.5086548761468469,0.4540802166878066,0.5812793233614766,0.12719910667366996
SPY,real_deseasonalized,4620,0.5347215936612284,0.9917020418670094,0.5980172732873299,0.548074004974253,0.5073850032141771,0.46140133487123625,0.6485527325663583,0.187151397695122
