ticker,first_timestamp_utc,last_timestamp_utc,observations
AAPL,2026-03-23 13:35:00+00:00,2026-06-16 19:55:00+00:00,4620
MSFT,2026-03-23 13:35:00+00:00,2026-06-16 19:55:00+00:00,4620
QQQ,2026-03-23 13:35:00+00:00,2026-06-16 19:55:00+00:00,4620
SPY,2026-03-23 13:35:00+00:00,2026-06-16 19:55:00+00:00,4620
