ticker,datetime_utc,open,high,low,close,volume,currency,exchange_timezone
MSFT,2026-03-23 13:30:00+00:00,383.9949951171875,386.3999938964844,383.5199890136719,386.1400146484375,2733079,,
MSFT,2026-03-23 13:35:00+00:00,386.18499755859375,387.2099914550781,385.70001220703125,386.1000061035156,559721,,
MSFT,2026-03-23 13:40:00+00:00,386.1896057128906,386.2900085449219,384.2699890136719,384.3900146484375,420170,,
MSFT,2026-03-23 13:45:00+00:00,384.3349914550781,385.739990234375,384.0,385.489990234375,491569,,
MSFT,2026-03-23 13:50:00+00:00,385.489990234375,386.42498779296875,384.9443054199219,386.1300048828125,387160,,
MSFT,2026-03-23 13:55:00+00:00,386.0799865722656,386.08990478515625,384.95001220703125,385.94500732421875,338796,,
MSFT,2026-03-23 14:00:00+00:00,385.9800109863281,386.1600036621094,385.0249938964844,385.2650146484375,354038,,
MSFT,2026-03-23 14:05:00+00:00,385.2099914550781,385.8699951171875,384.70001220703125,385.3450012207031,356393,,
MSFT,2026-03-23 14:10:00+00:00,385.3399963378906,386.6099853515625,385.110107421875,386.6000061035156,328283,,
MSFT,2026-03-23 14:15:00+00:00,386.6199951171875,387.2099914550781,386.510009765625,387.010009765625,348227,,
MSFT,2026-03-23 14:20:00+00:00,387.04998779296875,387.05999755859375,386.44000244140625,386.4599914550781,256664,,
MSFT,2026-03-23 14:25:00+00:00,386.4949951171875,386.6449890136719,385.0400085449219,385.489990234375,376926,,
MSFT,2026-03-23 14:30:00+00:00,385.489990234375,385.9200134277344,385.0801086425781,385.67999267578125,198376,,
MSFT,2026-03-23 14:35:00+00:00,385.6400146484375,385.9200134277344,385.17999267578125,385.5700988769531,218251,,
MSFT,2026-03-23 14:40:00+00:00,385.57000732421875,385.80499267578125,385.239990234375,385.3399963378906,168585,,
MSFT,2026-03-23 14:45:00+00:00,385.3599853515625,385.9800109863281,385.1000061035156,385.5899963378906,232111,,
MSFT,2026-03-23 14:50:00+00:00,385.5899963378906,385.79998779296875,384.95001220703125,385.3399963378906,196494,,
MSFT,2026-03-23 14:55:00+00:00,385.3266906738281,385.9200134277344,385.239990234375,385.6300048828125,167073,,
MSFT,2026-03-23 15:00:00+00:00,385.6300048828125,386.5799865722656,385.2950134277344,386.510009765625,284130,,
MSFT,2026-03-23 15:05:00+00:00,386.510009765625,386.7099914550781,386.0,386.6451110839844,200052,,
MSFT,2026-03-23 15:10:00+00:00,386.6499938964844,387.1300048828125,386.5199890136719,386.90008544921875,244314,,
MSFT,2026-03-23 15:15:00+00:00,386.8800048828125,386.9700012207031,386.3599853515625,386.3900146484375,186960,,
MSFT,2026-03-23 15:20:00+00:00,386.3800048828125,387.1499938964844,385.6000061035156,387.05999755859375,253149,,
MSFT,2026-03-23 15:25:00+00:00,387.0299987792969,387.139892578125,386.5,386.7250061035156,211917,,
MSFT,2026-03-23 15:30:00+00:00,386.75,386.9299011230469,385.92999267578125,385.92999267578125,238383,,
MSFT,2026-03-23 15:35:00+00:00,385.9599914550781,386.0,384.92999267578125,385.1684875488281,256062,,
MSFT,2026-03-23 15:40:00+00:00,385.1400146484375,385.20001220703125,384.54998779296875,384.8900146484375,268036,,
MSFT,2026-03-23 15:45:00+00:00,384.8949890136719,384.9200134277344,384.20001220703125,384.4100036621094,181915,,
MSFT,2026-03-23 15:50:00+00:00,384.4200134277344,384.57000732421875,383.25,383.2799987792969,292440,,
MSFT,2026-03-23 15:55:00+00:00,383.2699890136719,383.6991882324219,382.5400085449219,383.510009765625,312882,,
MSFT,2026-03-23 16:00:00+00:00,383.42999267578125,384.07501220703125,383.3399963378906,383.92999267578125,230025,,
