ticker,datetime_utc,open,high,low,close,volume,currency,exchange_timezone,log_close,gap_minutes,log_return,time_of_day,deseasonalized_return
MSFT,2026-03-23 13:35:00+00:00,386.18499755859375,387.2099914550781,385.7000122070313,386.1000061035156,559721,,,5.956096419078312,5.0,-0.00010361686491844324,13:35,-0.000823477383102515
MSFT,2026-03-23 13:40:00+00:00,386.1896057128906,386.2900085449219,384.2699890136719,384.3900146484375,420170,,,5.951657700297862,5.0,-0.0044387187804497685,13:40,-1.3479363805592592
MSFT,2026-03-23 13:45:00+00:00,384.3349914550781,385.739990234375,384.0,385.489990234375,491569,,,5.954515226996685,5.0,0.0028575266988228876,13:45,0.6493551558965204
MSFT,2026-03-23 13:50:00+00:00,385.489990234375,386.4249877929687,384.9443054199219,386.1300048828125,387160,,,5.95617411297491,5.0,0.0016588859782249443,13:50,0.5741605200531746
MSFT,2026-03-23 13:55:00+00:00,386.0799865722656,386.08990478515625,384.9500122070313,385.9450073242187,338796,,,5.9556948912433185,5.0,-0.00047922173159165027,13:55,-0.18965282127489658
MSFT,2026-03-23 14:00:00+00:00,385.9800109863281,386.1600036621094,385.0249938964844,385.2650146484375,354038,,,5.953931447219969,5.0,-0.0017634440233491588,14:00,-0.7775369506288008
MSFT,2026-03-23 14:05:00+00:00,385.2099914550781,385.8699951171875,384.7000122070313,385.3450012207031,356393,,,5.954139040090308,5.0,0.0002075928703382246,14:05,0.11596393738631729
MSFT,2026-03-23 14:10:00+00:00,385.3399963378906,386.6099853515625,385.110107421875,386.6000061035156,328283,,,5.9573905825619065,5.0,0.0032515424715988672,14:10,1.3353304741546403
MSFT,2026-03-23 14:15:00+00:00,386.6199951171875,387.2099914550781,386.510009765625,387.010009765625,348227,,,5.958450557722743,5.0,0.001059975160836224,14:15,0.620337820625751
MSFT,2026-03-23 14:20:00+00:00,387.0499877929687,387.05999755859375,386.44000244140625,386.4599914550781,256664,,,5.957028347676101,5.0,-0.001422210046642114,14:20,-0.7901181963659788
MSFT,2026-03-23 14:25:00+00:00,386.4949951171875,386.6449890136719,385.0400085449219,385.489990234375,376926,,,5.954515226996685,5.0,-0.002513120679415337,14:25,-1.4035168047517856
