datetime_utc,AAPL,MSFT,QQQ,SPY
2026-03-23 13:35:00+00:00,5.534179678217265,5.956096419078312,6.382813872776139,6.489660735930566
2026-03-23 13:40:00+00:00,5.534614025469141,5.951657700297862,6.381087977921578,6.489197325091507
2026-03-23 13:45:00+00:00,5.5329348182138895,5.954515226996685,6.384215813948558,6.490723534502507
2026-03-23 13:50:00+00:00,5.532440400172527,5.95617411297491,6.384401554082574,6.491603294729018
2026-03-23 13:55:00+00:00,5.529607635733222,5.9556948912433185,6.385143758091761,6.492573068436178
2026-03-23 14:00:00+00:00,5.5269657579207205,5.953931447219969,6.383185633298566,6.49108764155252
2026-03-23 14:05:00+00:00,5.527959349528231,5.954139040090308,6.383945744146598,6.491709428340416
2026-03-23 14:10:00+00:00,5.529984486382438,5.9573905825619065,6.385329325965236,6.492451955927964
2026-03-23 14:15:00+00:00,5.531609260997838,5.958450557722743,6.38685404185725,6.494010967018828
2026-03-23 14:20:00+00:00,5.53204472589611,5.957028347676101,6.388040265475572,6.494978501989597
2026-03-23 14:25:00+00:00,5.5311731832707105,5.954515226996685,6.386652004360829,6.493738696369967
2026-03-23 14:30:00+00:00,5.531252846918501,5.955007991106964,6.38655939876353,6.493738696369967
2026-03-23 14:35:00+00:00,5.530024124316842,5.954723015323426,6.385868748999394,6.493027433164293
2026-03-23 14:40:00+00:00,5.529230643014054,5.954126051949035,6.38521127872984,6.492830591774845
2026-03-23 14:45:00+00:00,5.531213197216362,5.954774619292732,6.386306719675112,6.494260552559521
2026-03-23 14:50:00+00:00,5.530506310452813,5.954126051949035,6.385312448225625,6.493602579417036
2026-03-23 14:55:00+00:00,5.529845650449491,5.954878373201849,6.385548504882789,6.493829461489981
2026-03-23 15:00:00+00:00,5.53255907796921,5.95715776618015,6.388141149183067,6.4958091926587604
2026-03-23 15:05:00+00:00,5.532203002317544,5.957507246681776,6.388166394174939,6.495612898127495
2026-03-23 15:10:00+00:00,5.5322426127944,5.958166482562526,6.387703878704605,6.4952957964635205
2026-03-23 15:15:00+00:00,5.530262100435461,5.9568472599973035,6.386643576681163,6.494441979866915
2026-03-23 15:20:00+00:00,5.532084282252555,5.95857971346464,6.387165444940232,6.495205164344071
2026-03-23 15:25:00+00:00,5.531727614585391,5.957713861905302,6.385565275750906,6.493587433644517
