ticker,datetime_utc,open,high,low,close,volume,currency,exchange_timezone,log_close,gap_minutes,log_return,time_of_day,deseasonalized_return
SPY,2026-03-23 13:35:00+00:00,656.780029296875,658.3300170898438,656.0700073242188,658.2999877929688,2855276,,,6.489660735930566,5.0,0.0023268251020596153,13:35,2.2330691045469107
SPY,2026-03-23 13:40:00+00:00,658.2999877929688,659.5399780273438,656.97998046875,657.9949951171875,3076437,,,6.489197325091507,5.0,-0.0004634108390586533,13:40,-0.2707399434584202
SPY,2026-03-23 13:45:00+00:00,658.010009765625,659.02001953125,657.3900146484375,659.0,2265187,,,6.490723534502507,5.0,0.0015262094109997904,13:45,1.1859000355443563
SPY,2026-03-23 13:50:00+00:00,659.0050048828125,660.1099853515625,658.6599731445312,659.5800170898438,2482273,,,6.491603294729018,5.0,0.0008797602265104842,13:50,0.5281806798736197
SPY,2026-03-23 13:55:00+00:00,659.5599975585938,660.25,658.72998046875,660.219970703125,1715018,,,6.492573068436178,5.0,0.0009697737071601154,13:55,0.9531776987544062
SPY,2026-03-23 14:00:00+00:00,660.2000122070312,660.77001953125,659.12158203125,659.239990234375,2051010,,,6.49108764155252,5.0,-0.0014854268836579365,14:00,-1.63554880475176
SPY,2026-03-23 14:05:00+00:00,659.260009765625,659.9199829101562,658.5800170898438,659.6500244140625,1518031,,,6.491709428340416,5.0,0.0006217867878959282,14:05,0.5977780725947569
SPY,2026-03-23 14:10:00+00:00,659.6500244140625,660.489990234375,659.25,660.1400146484375,2050667,,,6.492451955927964,5.0,0.0007425275875485582,14:10,0.6109017255159376
SPY,2026-03-23 14:15:00+00:00,660.1500244140625,661.1799926757812,660.0900268554688,661.1699829101562,1743163,,,6.494010967018828,5.0,0.001559011090863649,14:15,1.9622474411227893
SPY,2026-03-23 14:20:00+00:00,661.1749877929688,662.27001953125,660.780029296875,661.8099975585938,1756378,,,6.494978501989597,5.0,0.0009675349707691794,14:20,0.8622852222587192
SPY,2026-03-23 14:25:00+00:00,661.7899780273438,661.8900146484375,660.5700073242188,660.989990234375,1341336,,,6.493738696369967,5.0,-0.0012398056196305518,14:25,-1.7393569014086072
SPY,2026-03-23 14:30:00+00:00,660.97998046875,661.2899780273438,660.3499755859375,660.989990234375,1347220,,,6.493738696369967,5.0,0.0,14:30,-0.09818964410370659
SPY,2026-03-23 14:35:00+00:00,660.989990234375,661.4000244140625,660.1699829101562,660.52001953125,982707,,,6.493027433164293,5.0,-0.0007112632056731627,14:35,-0.6364570073789412
SPY,2026-03-23 14:40:00+00:00,660.5,660.7999877929688,660.0999755859375,660.3900146484375,860587,,,6.492830591774845,5.0,-0.00019684138944864316,14:40,-0.11748809468161167
SPY,2026-03-23 14:45:00+00:00,660.4199829101562,661.7999877929688,659.9500122070312,661.3350219726562,897119,,,6.494260552559521,5.0,0.0014299607846766094,14:45,1.6290853917944739
SPY,2026-03-23 14:50:00+00:00,661.3099975585938,661.3699951171875,660.4099731445312,660.9000244140625,1164563,,,6.493602579417036,5.0,-0.0006579731424851687,14:50,-0.8983059054674997
SPY,2026-03-23 14:55:00+00:00,660.8900146484375,661.4000244140625,660.5599975585938,661.0499877929688,579139,,,6.493829461489981,5.0,0.0002268820729449672,14:55,0.20085122494287067
SPY,2026-03-23 15:00:00+00:00,661.0700073242188,662.614990234375,660.8400268554688,662.3599853515625,1926689,,,6.4958091926587604,5.0,0.001979731168779253,15:00,2.6777574063360863
SPY,2026-03-23 15:05:00+00:00,662.3699951171875,662.5499877929688,661.8900146484375,662.22998046875,1017985,,,6.495612898127495,5.0,-0.00019629453126501772,15:05,-0.2353426484701326
SPY,2026-03-23 15:10:00+00:00,662.239990234375,662.5999755859375,661.739990234375,662.02001953125,1286976,,,6.4952957964635205,5.0,-0.0003171016639749169,15:10,-0.5181902048254281
SPY,2026-03-23 15:15:00+00:00,662.02001953125,662.1900024414062,661.3800048828125,661.4550170898438,677705,,,6.494441979866915,5.0,-0.000853816596605661,15:15,-1.1273482935564023
SPY,2026-03-23 15:20:00+00:00,661.4299926757812,662.10498046875,660.77001953125,661.9600219726562,1144299,,,6.495205164344071,5.0,0.0007631844771562868,15:20,0.8509125481758778
SPY,2026-03-23 15:25:00+00:00,661.9400024414062,661.97998046875,660.7000122070312,660.8900146484375,936520,,,6.493587433644517,5.0,-0.0016177306995537322,15:25,-1.5947248192608756
SPY,2026-03-23 15:30:00+00:00,660.9000244140625,661.3300170898438,660.47998046875,660.6599731445312,1086291,,,6.493239294704099,5.0,-0.0003481389404180746,15:30,-0.5679783835458125
SPY,2026-03-23 15:35:00+00:00,660.6500244140625,660.6900024414062,659.2100219726562,659.280029296875,1541306,,,6.491148374892809,5.0,-0.0020909198112901706,15:35,-3.046355548978883
SPY,2026-03-23 15:40:00+00:00,659.27001953125,659.780029296875,658.8300170898438,659.22998046875,1517180,,,6.491072457641096,5.0,-7.591725171351982e-05,15:40,-0.03479470584690303
SPY,2026-03-23 15:45:00+00:00,659.22998046875,659.2750244140625,658.1199951171875,658.7100219726562,2361742,,,6.490283410306456,5.0,-0.00078904733463947,15:45,-1.064877059125239
SPY,2026-03-23 15:50:00+00:00,658.7000122070312,659.0,657.0999755859375,657.3200073242188,2289818,,,6.488170973455635,5.0,-0.0021124368508207425,15:50,-3.2377208532547788
SPY,2026-03-23 15:55:00+00:00,657.3099975585938,657.4299926757812,655.8300170898438,656.010009765625,2972568,,,6.486176047616738,5.0,-0.001994925838897821,15:55,-2.131088429091846
SPY,2026-03-23 16:00:00+00:00,655.989990234375,657.1900024414062,655.9500122070312,656.489990234375,2121336,,,6.486907446458866,5.0,0.0007313988421282502,16:00,0.9335793326207237
SPY,2026-03-23 16:05:00+00:00,656.47998046875,657.4299926757812,656.125,656.9400024414062,1353235,,,6.487592693829719,5.0,0.0006852473708534035,16:05,1.0826675025620531
